Indicator,Measure,Year,Geography,Rate,95% Confidence Interval,Cases,Population,Significant Compared to Ontario,Suppression Flag
Incidence of all cancers,Age-standardized rate (both sexes),2010,Algoma Public Health,625.7,(585.1-666.3),939.0,118688.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Algoma Public Health,601.5,(561.8-641.2),909.0,118266.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Algoma Public Health,615.6,(575.9-655.4),952.0,117551.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Algoma Public Health,683.7,(641.4-726.1),1050.0,116967.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Algoma Public Health,594.4,(555.3-633.5),934.0,116155.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Brant County Health Unit,562.7,(523.4-601.9),792.0,140027.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Brant County Health Unit,522.2,(484.7-559.7),748.0,141034.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Brant County Health Unit,555.9,(517.7-594.1),817.0,142129.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Brant County Health Unit,517.3,(481.0-553.6),784.0,143474.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Brant County Health Unit,514.7,(478.8-550.7),793.0,144506.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Durham Region Health Department,565.3,(545.1-585.5),3060.0,619053.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Durham Region Health Department,587.3,(567.0-607.5),3274.0,626765.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Durham Region Health Department,565.8,(546.4-585.3),3275.0,636150.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Durham Region Health Department,546.7,(527.9-565.5),3283.0,644977.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Durham Region Health Department,551.6,(533.0-570.2),3420.0,653044.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Grey Bruce Health Unit,609.5,(575.4-643.6),1256.0,162557.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Grey Bruce Health Unit,576.0,(542.7-609.3),1189.0,162533.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Grey Bruce Health Unit,550.0,(518.1-582.0),1179.0,162865.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Grey Bruce Health Unit,559.8,(527.6-591.9),1220.0,163364.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Grey Bruce Health Unit,583.5,(550.2-616.8),1261.0,163468.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Haldimand-Norfolk Health Unit,605.5,(562.3-648.6),761.0,110937.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Haldimand-Norfolk Health Unit,603.5,(560.6-646.4),770.0,110753.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Haldimand-Norfolk Health Unit,594.7,(552.4-636.9),776.0,110389.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Haldimand-Norfolk Health Unit,601.3,(559.0-643.6),797.0,110378.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Haldimand-Norfolk Health Unit,534.8,(495.6-574.1),735.0,110504.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,"Haliburton, Kawartha, Pine Ridge District Health Unit",581.2,(549.9-612.5),1370.0,176008.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,"Haliburton, Kawartha, Pine Ridge District Health Unit",619.6,(587.3-652.0),1478.0,176387.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2012,"Haliburton, Kawartha, Pine Ridge District Health Unit",594.8,(563.3-626.3),1457.0,177681.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2013,"Haliburton, Kawartha, Pine Ridge District Health Unit",569.9,(539.2-600.6),1425.0,178413.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2014,"Haliburton, Kawartha, Pine Ridge District Health Unit",540.2,(510.7-569.6),1403.0,178992.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Halton Region Public Health,559.4,(537.7-581.1),2578.0,506718.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Halton Region Public Health,561.2,(539.8-582.5),2670.0,517159.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Halton Region Public Health,535.9,(515.4-556.4),2646.0,528567.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Halton Region Public Health,503.3,(483.8-522.8),2576.0,540094.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Halton Region Public Health,510.9,(491.6-530.2),2704.0,549927.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2010,City of Hamilton Public Health Services,540.6,(521.0-560.3),2931.0,531663.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,City of Hamilton Public Health Services,556.3,(536.6-576.1),3078.0,535602.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,City of Hamilton Public Health Services,540.2,(521.0-559.4),3049.0,540879.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,City of Hamilton Public Health Services,544.9,(525.8-563.9),3149.0,546301.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,City of Hamilton Public Health Services,519.0,(500.5-537.4),3067.0,551163.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Hastings Prince Edward Public Health,537.9,(505.3-570.5),1060.0,163929.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Hastings Prince Edward Public Health,592.3,(558.2-626.3),1188.0,164155.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Hastings Prince Edward Public Health,588.6,(554.9-622.3),1202.0,163839.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Hastings Prince Edward Public Health,601.6,(567.7-635.5),1248.0,163723.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Hastings Prince Edward Public Health,530.1,(498.5-561.7),1124.0,163377.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Huron Perth Public Health,635.3,(576.6-694.0),461.0,60677.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Huron Perth Public Health,642.0,(583.5-700.5),476.0,60522.0,Higher,
